,price
48025,1922
34612,470
49116,2066
35341,898
6115,3980
22460,10483
31400,764
39400,1076
30486,732
40762,1164
44169,1566
52502,2525
17888,7220
50847,2311
47166,1834
18496,7534
34416,863
28747,680
41110,1195
52876,2583
27898,655
11683,5062
12259,5207
13062,5411
36574,945
29469,702
28064,660
36493,944
15281,6133
17031,6803
29627,441
5551,3856
13487,5536
17290,6927
34143,854
33161,816
30462,732
4198,3563
39398,1076
17167,6855
15361,605
17561,7070
5244,3788
52346,2499
826,2866
44152,1563
1504,2993
50902,2318
41606,393
31859,776
51685,2399
12981,5395
10466,4791
20890,9111
20054,625
30093,720
33658,835
2991,3302
32051,780
16926,6758
41106,1195
26699,429
37058,968
11071,4921
6785,4113
47805,1901
6265,4012
19843,8404
16111,6440
10014,4708
9149,4538
524,2825
48447,1974
9907,4688
22065,10090
18301,7438
40533,1148
27031,645
14218,5763
21369,626
42462,1316
47909,1914
41486,1232
43171,1389
32259,789
45769,1707
32117,784
16016,6409
4548,3641
37489,984
30228,723
6062,3966
14531,5866
43199,1395
53250,2645
21697,626
10390,593
9860,4678
30693,737
20156,8612
42268,1294
38852,1050
21446,9548
53102,2614
49274,2090
46185,1748
12153,5175
41214,1206
49309,540
39535,1080
43362,1408
43123,1385
22342,10392
12658,5301
11407,5000
37335,981
32898,810
32441,792
31420,764
31099,753
31948,776
52857,2578
20975,9189
53799,2732
48135,1940
34723,875
41196,1203
41739,1243
17481,7019
36835,957
38402,1024
14355,5813
30645,736
13490,5538
7808,4293
37528,987
219,2782
34871,878
33598,833
29917,713
7815,4295
9807,4668
13965,5684
38449,1028
16442,6566
44314,521
47531,1869
38375,1024
16213,6480
4296,3589
12813,5344
5758,3897
43762,1439
12618,5292
42106,1276
42959,506
13440,5520
33207,820
53388,2663
27777,648
8549,4434
19055,7839
53845,2741
36836,957
40553,1151
48503,1982
37585,990
8055,583
2327,3169
13953,5677
53266,2648
53239,2643
39854,1100
4965,3734
4221,3569
7998,4327
29488,702
47005,1818
1244,2945
4598,3656
22539,10577
2976,3299
40572,1152
34081,852
14754,5939
33367,827
39666,1087
34338,862
46376,1762
29497,702
19353,622
1130,2919
18385,618
3608,3427
10355,4770
51636,544
1361,2964
1709,3037
48043,1925
38971,1053
42999,1368
47585,1876
10027,415
1523,2998
19089,7862
441,2815
52035,2450
50513,2272
32547,799
20743,8981
42521,1323
32886,810
44116,1559
1542,3001
31675,769
6150,3990
40181,1119
30189,722
7244,4196
43545,1428
49596,2137
48633,536
48166,1942
17867,7209
27824,650
44354,1580
21322,9471
50312,2239
32735,802
4738,573
50253,2234
40317,1125
28912,684
41643,1238
44536,1603
41633,504
39194,1064
2841,3270
12511,5260
50623,401
5095,3755
20120,8583
33337,827
45462,1675
18167,7365
36596,947
22936,10977
1329,2960
6385,576
21305,9461
8246,4375
168,2772
34208,854
33115,816
24708,639
41245,1208
51788,2415
28938,684
46001,1725
35238,894
52424,2513
46897,1814
10544,4809
16368,608
10872,4878
5112,3759
43262,506
51344,2363
13600,5564
13759,5608
52979,552
23444,11435
22352,628
52583,2538
6545,4072
39312,1069
16428,6561
20782,9017
28147,665
28117,663
41766,1245
33929,844
29129,691
6582,4078
47953,1917
2101,3115
47065,1822
15981,6397
7094,4166
43328,1404
41513,1235
53206,2634
32064,780
5046,573
18075,7303
21484,9580
47421,1851
3262,3359
4862,3712
16304,6525
28269,361
6665,4096
23642,11666
28991,686
46302,526
31895,776
11899,5119
26675,426
7972,4324
53447,2674
15424,6176
51341,2362
47971,532
53631,552
21954,10020
11294,4978
9836,4672
9144,4538
18654,7619
14812,5964
19856,8415
49019,2052
10237,4746
3095,3318
32001,777
20879,9100
37693,994
11263,4969
53016,2599
3000,3303
42641,1332
12552,5273
17759,7152
47698,1883
6575,4077
43611,507
8905,4492
30307,726
38041,1011
16289,6516
53771,2726
30382,730
42797,1351
37505,984
11858,5104
31569,766
15109,6073
28914,684
12723,5312
11282,4974
9995,4704
10808,4864
12544,5269
3150,3332
52404,2511
52478,2519
19396,8061
38164,1014
49395,2104
12418,5237
37311,979
12318,5223
17337,6956
36687,951
40631,1153
1969,3090
31827,775
52540,2531
15081,6061
47733,1890
28870,684
36099,926
39523,1080
12711,599
41233,1207
47139,1831
19014,7832
47606,1879
32456,794
14901,5998
44831,1624
14017,5701
40923,499
31463,765
31096,753
2095,3114
40655,1154
3157,3334
34962,471
8670,4455
11387,596
33244,825
41543,1235
15903,6356
9735,4656
20678,8959
38198,1016
51690,2399
52800,2570
49493,2117
14260,5775
4465,3622
17938,7246
2427,3182
712,2855
2474,3192
28680,678
29647,706
46046,1730
23025,631
46634,526
7372,4222
15143,6088
20717,625
5789,3903
35613,473
18440,7502
12134,5171
44997,523
45944,1723
29297,438
39209,1065
17516,7044
50465,2265
7050,579
21722,9791
28944,684
47664,530
18005,7281
3657,3442
48509,1983
440,2815
34729,875
42786,1349
28335,666
38032,1010
22331,10378
16271,6509
40511,1144
20376,625
50349,2246
28022,658
37510,985
14525,5864
34659,872
12906,5375
5813,3911
2740,3248
10332,4766
4659,3669
24051,635
15765,6303
9567,4624
10688,4844
42749,1343
31460,765
41760,1245
22721,10738
42176,1286
14814,5966
43561,1430
3104,3322
7844,4304
22314,10356
32618,457
49554,2129
22591,10642
39703,1088
9688,4652
32708,802
47788,1897
4339,3601
36176,930
9030,586
35737,911
47192,1838
6815,4118
28674,678
5831,3917
12500,5257
43546,1428
19848,8408
11610,5047
17359,6966
16339,6534
19420,8074
12868,5363
41247,1208
16869,6731
5383,574
52024,2447
16771,6681
23556,11565
53592,2699
45277,1662
44474,1595
45816,1712
51226,2352
497,2822
49365,2099
30276,447
43999,394
19128,7897
5538,3855
174,2774
43557,1429
48762,2016
9990,4704
37677,992
32066,780
5139,3763
19141,7904
39848,1100
33786,842
9087,4523
31312,758
11183,4955
13672,5595
40716,1160
20308,8722
48859,2034
20575,8887
1598,3011
41225,1207
37431,984
31575,767
15688,6290
1039,2906
57,405
15308,6146
30130,720
11029,4918
14829,5973
44188,1569
34606,470
41440,1228
43337,1406
48235,1950
18817,7703
6731,577
35647,907
30618,447
1336,2961
3306,3370
53400,2667
33468,828
29737,708
2017,3104
283,2795
53698,2717
43115,1385
14015,5701
33373,827
38586,1036
6215,4002
36726,954
510,2823
15613,6262
2660,3235
36418,942
18534,7553
48587,1993
8194,4368
44695,1612
8088,4339
51116,2338
4358,3604
44743,1619
21551,9656
6149,3989
3276,3360
12403,5233
42873,1358
49943,2188
31001,747
15702,607
32921,810
45128,1652
32838,807
31969,452
43296,1401
38128,1013
10322,4764
48280,1956
4976,3736
19161,7918
49208,2079
50884,2316
34733,876
39788,1095
8135,4355
16383,6541
51680,2398
50443,2263
16119,6442
31487,765
53491,2683
44183,1569
51142,2342
5993,3955
15630,6271
45981,526
45186,1656
4217,3568
17565,7072
8693,4459
41881,1258
49728,2153
20946,9160
47908,1914
48182,1944
20924,9139
31568,766
49724,2150
53543,2692
14418,5821
53175,2630
9028,4516
5607,3872
33843,844
23381,631
47320,530
37882,1005
43558,1429
50487,2268
8444,4412
15251,6124
11928,5126
51559,2388
13485,5535
32221,789
8959,4502
9461,4600
52641,552
40061,1113
50206,2227
9580,4627
12916,5376
3699,3449
5559,3858
16473,6582
42327,1295
39059,1058
16235,6494
12427,5241
20903,9118
492,2822
5068,574
29269,698
16982,6783
8189,4368
30921,745
36434,942
339,2803
52930,2591
50036,2198
1444,2975
16234,6494
1492,2990
47910,1915
47223,1839
29389,698
38491,1031
46148,1746
47900,1914
48013,1920
40014,1108
45712,1698
29526,703
4195,3563
34429,863
42914,1363
43691,1436
36042,923
49699,2147
13209,5457
38043,1011
41758,1245
18485,7527
36009,921
37707,995
41511,1235
49663,2141
35419,900
21950,10020
17693,7133
35413,900
13409,603
7770,4284
40571,1152
34162,854
35036,882
344,2804
1029,2904
32098,781
43292,1401
7723,580
9493,4608
5067,574
28698,679
38023,1009
35121,887
20951,9169
45048,1640
47060,1821
29964,446
32409,791
29525,703
11276,4973
14436,5829
21490,9586
46698,1792
4151,3546
41528,1235
37571,990
6917,4137
47173,1836
13563,5554
43973,518
19975,8523
52401,2510
29266,698
50962,2324
40922,499
53020,2599
17391,612
28342,666
13356,419
36131,928
15864,6346
42642,1332
16638,6653
42716,1340
33702,838
32917,810
2115,3119
22389,10412
29109,689
13589,5559
11477,5014
32671,802
12951,5387
19343,8044
30119,720
27991,658
52101,2459
28475,672
41279,504
47925,1915
19507,8138
46898,1814
5884,3927
1264,2948
29840,710
16964,6776
36328,936
5645,3880
51708,2400
28352,667
10514,4801
13088,5418
49551,2129
28111,663
18484,7526
33352,827
10109,4717
52207,2481
47028,1819
12078,5158
43347,1406
48083,1932
22535,10576
14858,5985
6819,4118
20215,8648
43386,1410
46011,1727
35352,898
28450,671
36161,929
18549,7562
4699,3677
10960,4902
26719,645
37525,987
43479,1420
22174,10214
34267,466
50519,2273
18614,7592
51064,2332
14840,5976
13518,5544
8681,4457
21197,9343
21167,9328
29321,698
15157,6093
47686,1882
47311,530
31225,756
36118,927
50807,2307
11829,5096
4169,3553
37572,990
12694,599
51613,2395
19637,8256
15576,6248
31124,754
811,2863
29857,710
18414,7485
48436,1974
52103,2459
49178,2074
13498,5539
11684,5062
47443,1856
29801,709
4928,3729
3545,3413
8268,4381
46284,1755
39030,1056
40496,1142
41715,1243
35614,473
34507,868
46475,1776
1914,3081
52874,2582
16773,6682
36918,961
5903,3933
4491,3628
41992,1264
18925,7774
11317,4986
11044,595
30846,743
37980,1008
12620,5292
30733,739
53338,2655
39685,1088
13723,603
29163,693
3429,3384
40226,1123
11232,4964
28630,434
51776,2410
41430,1227
9630,4637
36539,945
52291,548
12863,5362
40351,1129
51658,545
23779,11839
7677,4274
7122,4172
13687,5599
41260,501
52029,2448
40384,1132
31207,756
31430,764
936,2885
30360,729
15797,6321
50482,2268
49016,2052
15834,6335
44720,1615
22734,10752
17317,6942
29528,703
21789,9857
28377,668
23114,11138
32760,803
1066,558
38867,1050
8114,4350
51369,2366
39229,1067
4872,3713
38716,1042
5239,3787
3156,3334
1861,3066
16154,6458
17343,6960
21174,9332
15347,6160
17558,7068
34157,854
5654,3881
3668,3444
9348,4584
8484,4417
9749,4660
40773,1167
14031,5703
39842,1099
5596,3869
53843,2739
18720,7644
19776,8346
28788,681
49734,2154
31201,756
30753,740
40940,500
10750,4852
41924,1263
31993,776
968,2893
16901,6748
53196,2633
1601,3011
23479,11480
31955,452
541,2828
12823,5346
2630,3228
2855,3273
43694,1436
31301,758
44403,1584
3697,3449
42658,1333
14758,5939
50801,2306
21237,9384
18285,7429
2479,3193
7536,4244
18310,7443
36994,964
34581,871
47806,1902
52204,2480
11657,5055
33683,837
44038,1547
19852,8411
48575,1993
2312,3166
49414,2106
35523,905
10200,4740
50883,2316
6892,4133
48929,2042
49278,2090
10549,4811
11036,4920
3637,3434
4115,3538
41276,503
15070,6058
15127,6080
32006,777
51014,2327
28385,668
4267,3581
30523,733
48401,1968
34960,471
21603,9702
9208,4552
1828,3059
34709,874
50910,2318
11978,5141
44631,1608
53439,2673
23206,11214
31995,776
46298,526
38686,1041
12979,5395
49080,2060
7568,4252
48289,1957
20799,9032
30991,746
19624,8242
50934,2319
51756,2406
5598,3869
8102,4346
4020,3521
47272,1844
53426,2671
38186,1015
15274,6132
8377,583
5206,3780
8539,4430
1261,2947
5941,3945
23136,11156
19662,8271
4818,3703
28929,684
39468,1079
43715,1437
38575,1035
42207,1289
53526,2690
21498,9596
13098,5421
9427,4590
48798,2024
45938,1722
9823,4672
11704,596
46388,1764
8009,4328
36631,947
21355,9498
4354,3603
43169,1389
18621,7597
17289,6926
8642,4452
17134,6837
6654,4093
51030,2329
6906,4135
15579,6250
53409,2669
17997,7278
39669,1087
46202,1749
10698,4846
34488,867
36285,477
43644,1433
22744,10763
40400,1133
50214,2230
14305,5795
3358,3382
23416,11406
2658,3235
5283,3799
30426,730
7643,4268
46778,1804
3191,3342
9877,4681
40067,1113
37993,1008
11710,596
45457,1675
10160,4729
2565,3210
33283,462
10176,4733
18732,7652
35449,900
22559,10609
10153,4725
15214,6108
6442,4047
8947,4498
42424,1312
50914,2318
30213,723
46906,1814
20778,9013
33700,838
34812,878
52651,2548
47504,1865
3078,3312
31782,773
36641,948
50463,2265
48212,1949
11516,5022
44438,1590
22638,10687
48706,2010
7937,4318
31068,752
14728,605
29688,707
13884,5653
29961,446
28098,663
453,2817
32723,802
41099,1193
11725,596
53011,2596
22444,10472
33462,828
8739,4462
33388,828
37747,998
6005,3959
53510,2686
31804,774
11172,4950
8796,4472
13141,5436
50367,2248
30409,730
29408,700
35005,882
23487,11489
11318,4986
13830,5637
34623,872
21576,9681
41348,1217
49206,2079
9834,4672
48203,1948
7640,4268
13270,5484
15574,6247
50427,2260
46179,1746
37057,968
34594,470
50494,2268
20015,421
49816,2167
50839,2310
35501,904
38417,1025
10137,4722
42448,1315
8980,4507
17507,7037
42413,1311
29740,708
16407,6552
53176,2630
49695,2146
23368,425
4529,3638
8112,4350
23696,11764
8613,4443
23612,11638
13024,600
1901,3079
32149,787
47184,1837
48064,1928
44709,1614
31250,758
30955,449
11392,596
45330,1662
16214,6480
33463,828
30194,722
28253,666
14193,5758
20700,625
21514,9611
30283,447
747,557
50556,2276
5198,3780
30210,723
38615,489
3770,3459
6994,4155
40223,1123
51656,545
16732,611
47010,1819
36251,935
28495,673
13775,5617
42895,1360
48811,2026
51012,2327
25696,644
5225,3784
5570,3861
16040,608
40884,1176
38512,1032
41829,1252
42407,1310
22515,10553
51118,2338
20499,8831
125,2762
15895,6354
40899,1178
42569,1327
52472,2518
35715,911
53911,2753
19556,8190
30564,734
43627,1433
10249,4749
30619,447
48378,1965
17499,7034
50107,2208
21235,9383
35175,891
15531,6223
12197,5190
42911,1363
8562,4435
45910,1721
4690,3675
48684,2005
7056,579
19281,8004
4709,3679
31321,758
5840,3919
38992,1054
36467,942
6425,4044
22726,10743
35585,907
39585,1082
45694,1697
5472,3838
46935,1815
20277,8701
14806,5962
44400,1584
31789,773
11391,596
16729,610
43889,1454
45710,1698
48807,2025
33179,818
23527,11531
38609,1040
40988,1181
20275,8699
53929,2756
34525,868
16474,6582
44545,1605
2048,561
1536,3001
1266,2948
11027,4918
6834,4121
13432,5517
36737,954
9431,4591
46563,1783
32382,790
53468,2680
42373,1304
52836,2574
41063,1190
14618,5899
37742,997
31285,450
50048,2200
49343,2096
45802,1710
26683,427
48607,1998
30041,719
34234,855
44159,1565
28213,666
29004,686
49263,2088
35156,891
43550,1429
36770,956
21431,9539
29625,441
37276,483
21970,10039
28789,681
13785,5620
21931,10006
29984,716
29503,702
4621,3665
1060,558
41327,1214
4975,3736
4432,3615
6404,4038
23632,11655
23546,11557
38226,1017
31047,750
9862,4678
32593,802
51264,2358
312,2800
45344,1664
17930,7240
30376,729
13483,5535
49261,2088
22860,10896
2336,3170
13726,603
23636,11661
11567,5036
4955,3734
19149,7911
43962,517
39760,1094
7666,4271
37083,969
20397,625
53568,2696
33149,816
28259,666
39731,1091
17859,7204
6759,4105
3613,3428
4092,3534
20617,8916
48614,1998
52918,2590
9332,4580
8750,4465
46643,526
8849,4480
4350,3601
3042,565
31425,764
39621,491
5630,3878
50458,2264
38924,1052
6913,4137
40989,1181
52129,2467
18369,616
