,price,carat,x,z
127,2763,0.61,5.56,3.32
128,2763,0.91,6.11,3.93
129,2763,0.91,6.03,3.95
130,2763,0.77,5.89,3.64
131,2764,0.71,5.64,3.6
132,2764,0.71,5.69,3.53
134,2765,0.77,5.88,3.61
135,2765,0.63,5.52,3.37
136,2765,0.71,5.74,3.46
138,2765,0.76,5.88,3.61
139,2766,0.64,5.53,3.43
140,2766,0.71,5.78,3.51
143,2767,0.7,5.8,3.5
144,2767,0.71,5.74,3.54
145,2767,0.7,5.62,3.5
146,2768,0.71,5.52,3.52
147,2768,0.73,5.83,3.52
148,2768,0.7,5.66,3.48
151,2769,0.74,5.82,3.57
152,2770,0.71,5.65,3.52
153,2770,0.73,5.83,3.56
154,2770,0.76,5.79,3.65
155,2770,0.76,5.78,3.62
157,2770,0.73,5.87,3.55
158,2770,0.73,5.79,3.55
159,2770,0.73,5.92,3.54
160,2770,0.73,5.92,3.49
161,2771,0.72,5.81,3.51
162,2771,0.73,5.79,3.58
163,2771,0.71,5.73,3.56
166,2772,0.8,6.01,3.67
167,2772,0.58,5.39,3.33
168,2772,0.58,5.33,3.3
170,2773,0.75,5.85,3.6
172,2774,1.17,6.83,4.13
173,2774,0.6,5.41,3.35
174,2774,0.7,5.68,3.58
175,2774,0.83,5.85,3.79
178,2776,0.71,5.74,3.58
179,2776,0.71,5.79,3.55
180,2776,0.54,5.25,3.24
181,2776,0.54,5.24,3.23
184,2776,0.72,5.8,3.47
185,2776,0.71,5.8,3.5
186,2777,0.7,5.66,3.57
187,2777,0.71,5.67,3.53
188,2777,0.71,5.64,3.56
189,2777,0.71,5.61,3.59
191,2777,0.7,5.7,3.53
193,2777,0.7,5.79,3.46
194,2777,0.7,5.73,3.49
195,2777,0.7,5.67,3.54
196,2777,0.7,5.73,3.48
197,2777,0.7,5.78,3.51
198,2777,0.7,5.76,3.52
199,2777,0.72,5.82,3.56
200,2777,0.7,5.76,3.43
201,2777,0.7,5.71,3.49
202,2777,0.7,5.77,3.48
203,2777,0.7,5.64,3.6
204,2777,0.98,6.05,4.08
206,2777,0.7,5.6,3.51
208,2779,0.73,5.82,3.55
209,2779,0.74,5.84,3.59
210,2780,0.7,5.61,3.58
212,2780,0.71,5.68,3.54
214,2780,0.7,5.64,3.49
215,2781,1.01,6.39,3.94
216,2781,0.77,5.83,3.64
217,2781,0.78,5.92,3.64
218,2782,0.72,5.83,3.51
219,2782,0.53,5.34,3.08
222,2782,0.7,5.62,3.51
223,2782,0.75,5.78,3.63
225,2782,0.72,5.73,3.58
226,2782,0.7,5.68,3.56
229,2783,0.52,5.14,3.21
231,2784,0.79,5.85,3.75
232,2787,0.72,5.66,3.61
233,2787,0.51,5.11,3.18
234,2787,0.64,5.54,3.41
235,2788,0.7,5.74,3.48
236,2788,0.83,6.07,3.72
237,2788,0.76,5.85,3.62
238,2788,0.71,5.64,3.58
239,2788,0.77,5.97,3.53
240,2788,0.71,5.71,3.55
241,2788,1.01,6.29,4.03
242,2788,1.01,6.31,3.93
243,2789,0.77,5.81,3.72
244,2789,0.76,5.76,3.7
246,2789,0.76,5.82,3.61
248,2789,0.81,5.97,3.69
251,2789,0.81,5.94,3.64
252,2789,0.63,5.48,3.38
253,2789,0.63,5.55,3.37
254,2789,0.77,5.9,3.61
255,2789,1.05,6.41,4.18
256,2790,0.64,5.54,3.41
258,2790,0.83,6.02,3.76
259,2790,0.71,5.77,3.46
260,2790,0.71,5.73,3.53
261,2791,0.87,6.07,3.87
262,2791,0.73,5.74,3.58
263,2792,0.71,5.83,3.46
264,2792,0.71,5.7,3.54
265,2792,0.71,5.72,3.52
266,2792,0.7,5.71,3.53
267,2792,0.7,5.78,3.5
269,2792,0.7,5.73,3.55
270,2793,0.79,5.98,3.65
271,2793,0.7,5.66,3.57
272,2793,0.7,5.6,3.61
273,2793,0.76,5.87,3.61
274,2793,0.73,5.72,3.6
275,2794,0.79,5.91,3.72
276,2795,0.71,5.81,3.53
278,2795,0.81,5.92,3.72
279,2795,0.72,5.74,3.48
280,2795,0.72,5.73,3.54
281,2795,0.72,5.72,3.6
283,2795,0.72,5.73,3.58
284,2795,1.0,6.61,3.83
286,2797,0.81,5.94,3.66
287,2797,0.81,6.07,3.67
288,2797,0.71,5.67,3.57
289,2797,0.71,5.73,3.52
291,2797,0.57,5.34,3.31
292,2797,0.51,5.12,3.17
293,2797,0.72,5.72,3.55
294,2797,0.74,5.77,3.58
298,2797,1.01,6.19,4.13
300,2798,0.77,5.87,3.62
302,2799,0.82,5.97,3.74
304,2800,0.6,5.43,3.35
305,2800,0.9,6.07,3.79
306,2800,0.7,5.6,3.5
307,2800,0.9,6.17,3.8
308,2800,0.83,5.99,3.76
309,2800,0.83,6.03,3.74
310,2800,0.83,5.95,3.74
311,2800,0.74,5.74,3.59
312,2800,0.79,5.92,3.67
313,2800,0.61,5.43,3.39
314,2800,0.76,5.89,3.46
315,2801,0.96,6.37,3.88
316,2801,0.73,5.8,3.61
317,2801,0.73,5.76,3.59
318,2801,0.75,5.93,3.59
319,2801,0.71,5.7,3.53
320,2801,0.71,5.9,3.4
321,2801,0.71,5.64,3.59
322,2801,0.71,5.69,3.56
323,2801,1.04,6.46,4.0
324,2801,1.0,6.45,3.98
327,2802,0.72,5.79,3.59
328,2802,0.72,5.83,3.6
329,2803,0.7,5.63,3.55
330,2803,0.74,5.74,3.66
331,2803,0.71,5.75,3.51
332,2803,0.73,5.84,3.55
333,2803,0.7,5.56,3.63
334,2803,0.71,5.7,3.56
336,2803,0.71,5.7,3.54
337,2803,0.77,5.93,3.62
338,2803,0.71,5.81,3.47
339,2803,0.78,6.03,3.64
340,2803,0.71,5.66,3.59
341,2803,0.91,6.21,3.85
342,2804,0.71,5.62,3.6
343,2804,0.71,5.66,3.63
344,2804,0.8,5.88,3.7
345,2804,0.7,5.69,3.56
346,2804,0.72,5.74,3.55
347,2804,0.72,5.75,3.56
348,2804,0.82,6.01,3.72
350,2804,0.72,5.74,3.58
351,2804,0.72,5.77,3.56
352,2804,0.9,5.93,3.96
355,2805,0.73,5.77,3.58
357,2805,0.73,5.75,3.58
358,2805,0.72,5.74,3.59
359,2805,0.74,5.82,3.53
360,2805,0.82,5.92,3.78
361,2806,0.81,5.89,3.69
363,2806,0.7,5.72,3.53
367,2808,0.8,5.87,3.7
369,2808,1.0,6.16,4.07
371,2808,0.58,5.41,3.3
372,2808,0.73,5.74,3.61
374,2809,0.81,6.15,3.61
375,2809,0.71,5.84,3.53
376,2809,1.2,6.73,4.33
377,2810,0.7,5.63,3.5
379,2810,0.74,5.81,3.6
380,2810,0.7,5.57,3.51
381,2810,0.8,5.84,3.69
382,2811,0.75,5.72,3.64
383,2811,0.83,5.98,3.79
384,2811,1.0,6.14,4.01
385,2811,0.99,6.21,4.18
386,2812,0.7,5.57,3.53
387,2812,0.7,5.75,3.45
388,2812,0.7,5.49,3.5
389,2812,0.7,5.63,3.49
393,554,0.32,4.39,2.67
394,554,0.32,4.39,2.76
395,554,0.32,4.47,2.7
397,554,0.3,4.41,2.64
398,554,0.3,4.28,2.68
399,554,0.3,4.29,2.71
400,554,0.3,4.26,2.7
401,554,0.3,4.27,2.67
403,554,0.32,4.36,2.78
404,554,0.33,4.85,2.95
405,555,0.29,4.28,2.66
406,555,0.29,4.2,2.63
407,555,0.31,4.32,2.68
408,555,0.34,4.47,2.76
409,555,0.34,4.54,2.75
410,555,0.34,4.48,2.78
411,555,0.34,4.5,2.8
412,555,0.3,4.29,2.68
413,555,0.29,4.26,2.64
414,555,0.35,4.56,2.77
415,555,0.43,4.94,2.9
417,556,0.36,4.54,2.82
418,556,0.3,4.28,2.66
419,556,0.26,4.09,2.52
421,2812,0.7,5.66,3.46
422,2812,0.71,5.69,3.56
424,2812,0.73,5.92,3.46
425,2812,0.51,5.15,3.18
427,2813,0.84,6.0,3.79
428,2813,0.91,6.09,3.9
429,2814,0.76,5.86,3.63
430,2814,0.76,5.88,3.62
431,2814,0.75,5.86,3.57
432,2815,0.55,5.23,3.23
433,2815,0.76,5.93,3.49
434,2815,0.74,5.79,3.58
435,2815,0.7,5.75,3.49
438,2815,0.7,5.72,3.53
439,2815,0.9,6.08,3.94
440,2815,0.95,6.62,3.68
441,2815,0.89,6.26,3.76
442,2815,0.72,5.99,3.47
443,2815,0.96,6.73,3.55
444,2815,1.02,6.55,3.94
445,2816,0.78,5.91,3.64
446,2816,0.61,5.52,3.32
449,2816,0.87,6.16,3.85
451,2817,0.71,5.78,3.53
452,2817,0.71,5.84,3.53
453,2817,0.71,5.66,3.54
454,2817,0.71,5.69,3.53
456,2817,0.71,5.86,3.46
457,2817,0.71,5.75,3.54
459,2817,0.71,5.77,3.53
460,2817,0.9,6.2,3.88
461,2817,0.71,5.6,3.5
463,2818,0.7,5.78,3.41
464,2818,0.7,5.64,3.54
467,2818,0.8,6.07,3.68
469,2818,0.7,5.91,3.5
471,2818,0.7,5.68,3.55
472,2818,1.0,6.34,4.08
473,2819,0.72,5.64,3.61
474,2819,0.72,5.73,3.58
475,2819,0.7,5.76,3.45
476,2819,0.86,5.97,3.83
478,2821,0.75,5.8,3.59
479,2821,0.73,5.77,3.54
482,2821,0.73,5.72,3.63
483,2821,0.73,5.92,3.51
484,2821,0.73,5.77,3.56
485,2821,0.73,5.84,3.6
486,2821,0.73,5.76,3.62
487,2822,0.7,5.74,3.48
488,2822,0.72,5.84,3.51
489,2822,0.72,5.8,3.52
490,2822,0.72,5.77,3.58
492,2822,0.6,5.37,3.34
493,2822,0.74,5.85,3.57
494,2822,0.73,5.75,3.58
495,2822,0.71,5.71,3.57
496,2822,0.71,5.75,3.52
497,2822,0.7,5.82,3.48
498,2822,0.7,5.75,3.48
501,2822,0.7,5.73,3.51
502,2822,0.7,5.71,3.56
503,2822,0.7,5.82,3.46
506,2822,0.7,5.73,3.51
507,2822,0.7,5.72,3.46
508,2822,0.7,5.8,3.49
509,2822,0.7,5.75,3.52
510,2823,0.79,5.86,3.69
511,2823,0.9,6.06,3.89
512,2823,0.71,5.71,3.54
513,2823,0.61,5.51,3.4
516,2824,0.71,5.74,3.5
518,2824,0.74,5.73,3.62
519,2824,0.82,6.02,3.74
520,2824,0.82,6.05,3.67
521,2825,0.71,5.73,3.54
522,2825,0.83,6.08,3.64
523,2825,0.73,5.75,3.58
524,2825,0.83,6.02,3.74
525,2825,1.17,6.9,4.13
526,2825,0.91,6.24,3.81
527,2826,0.73,5.75,3.58
528,2826,0.7,5.94,3.38
529,2826,0.9,6.11,3.79
530,2826,0.7,5.66,3.5
531,2826,0.7,5.6,3.54
532,2826,0.7,5.78,3.42
533,2826,0.9,6.17,3.88
534,2826,0.78,5.97,3.62
535,2826,0.96,6.41,3.88
536,2827,0.7,5.67,3.54
539,2827,0.7,5.69,3.52
540,2827,0.7,5.66,3.54
541,2828,0.7,5.74,3.49
542,2828,1.01,6.39,3.91
543,2829,0.72,5.75,3.56
544,2829,0.8,5.91,3.75
545,2829,0.59,5.36,3.33
546,2829,0.72,5.77,3.55
547,2829,0.75,5.88,3.62
548,2829,0.8,6.05,3.63
549,2830,0.71,5.65,3.56
552,2830,0.53,5.23,3.19
553,2830,0.53,5.16,3.2
554,2830,0.8,5.94,3.7
555,2830,0.9,6.21,3.74
556,2831,0.76,5.89,3.61
557,2831,0.72,5.7,3.57
558,2831,0.75,5.82,3.59
559,2831,0.72,5.73,3.57
560,2831,0.79,5.93,3.66
561,2832,0.72,5.71,3.58
562,2832,0.91,6.15,3.87
568,2833,0.8,5.86,3.66
569,2833,0.56,5.28,3.24
570,2833,0.7,5.77,3.45
571,2833,0.7,5.74,3.51
572,2833,0.61,5.45,3.37
573,2833,0.85,6.02,3.78
574,2833,0.7,5.73,3.49
575,2834,0.8,5.94,3.67
576,2834,0.8,5.91,3.7
580,2834,0.9,6.17,3.9
581,2834,0.9,6.07,3.94
582,2834,0.77,6.01,3.63
583,2835,0.73,5.89,3.58
584,2835,0.63,5.47,3.4
585,2835,0.7,5.7,3.52
587,2835,0.72,5.78,3.53
590,2836,0.71,5.6,3.53
592,2837,0.7,5.74,3.53
594,2838,0.76,5.92,3.61
595,2838,0.82,5.83,3.77
597,2838,0.7,5.72,3.54
598,2838,0.7,5.69,3.49
599,2838,0.7,5.73,3.56
600,2838,0.7,5.83,3.45
601,2838,0.7,5.53,3.5
604,2838,0.7,5.64,3.53
605,2839,0.74,5.85,3.52
607,2839,0.7,5.75,3.53
608,2839,0.71,5.82,3.57
609,2839,0.71,5.84,3.44
611,2839,0.71,5.75,3.47
613,2839,0.73,5.8,3.59
616,2839,0.71,5.82,3.5
617,2839,0.71,5.87,3.46
618,2839,0.79,6.09,3.59
619,2839,0.71,5.7,3.55
620,2840,0.77,5.9,3.59
621,2840,0.75,5.85,3.52
622,2840,0.7,5.75,3.52
623,2840,0.71,5.88,3.47
624,2840,0.92,6.27,3.86
625,2840,0.83,6.08,3.72
626,2840,0.7,5.87,3.45
627,2841,0.73,5.9,3.55
628,2841,0.71,5.69,3.58
629,2841,0.73,5.66,3.63
630,2841,0.82,6.0,3.74
631,2841,0.82,5.96,3.73
632,2841,0.82,6.12,3.66
633,2841,0.52,5.19,3.18
637,2841,0.73,5.87,3.5
638,2841,0.73,5.82,3.56
639,2842,0.8,5.92,3.72
640,2842,0.7,5.8,3.38
641,2843,0.7,5.71,3.45
642,2843,0.7,5.65,3.55
643,2843,0.71,5.76,3.44
645,2843,0.71,5.73,3.54
646,2843,0.73,5.81,3.57
647,2843,0.73,5.73,3.56
648,2843,0.72,5.71,3.55
649,2843,0.81,5.91,3.68
650,2843,0.71,5.81,3.52
651,2844,0.73,5.92,3.43
652,2844,0.7,5.65,3.51
654,2844,1.01,6.35,4.02
655,2844,0.79,5.91,3.7
656,2845,0.7,5.65,3.5
657,2845,0.7,5.83,3.44
659,2845,1.27,7.12,4.2
660,2846,0.79,5.96,3.65
661,2846,0.72,5.79,3.5
662,2846,0.73,5.79,3.58
663,2846,1.01,6.3,4.11
664,2846,1.01,6.25,3.99
666,2846,0.7,5.71,3.53
667,2846,0.7,5.76,3.43
669,2846,0.77,5.91,3.59
670,2846,0.77,5.94,3.63
671,2847,0.84,6.1,3.74
672,2847,0.72,5.83,3.52
673,2847,0.76,5.93,3.61
676,2848,0.75,5.74,3.7
678,2849,0.74,5.75,3.62
679,2850,0.7,5.74,3.51
681,2850,0.75,5.83,3.6
683,2851,0.8,5.89,3.71
685,2851,0.87,6.22,3.75
687,2851,0.74,5.85,3.56
688,2852,0.58,5.37,3.27
690,2852,0.74,5.85,3.59
691,2852,0.73,5.7,3.6
693,2853,0.71,5.67,3.56
694,2853,0.71,5.64,3.59
695,2853,0.79,5.9,3.69
696,2853,0.79,6.07,3.63
699,2854,0.78,5.87,3.66
700,2854,0.7,5.64,3.54
701,2854,1.12,6.78,4.0
702,2854,0.73,5.86,3.6
703,2854,0.91,6.06,3.89
706,2854,0.91,6.04,3.96
707,2854,0.7,5.91,3.43
708,2854,0.68,5.67,3.49
710,2855,1.03,6.38,4.03
711,2855,0.74,5.8,3.6
712,2855,0.98,6.82,3.61
714,2856,1.0,5.96,4.02
716,2856,0.6,5.44,3.32
717,2856,0.8,5.97,3.69
718,2856,0.97,6.43,3.9
719,2856,1.0,6.19,4.15
720,556,0.26,4.05,2.53
721,556,0.26,4.09,2.55
722,556,0.36,4.57,2.83
723,556,0.34,4.6,2.66
724,556,0.34,4.44,2.82
725,556,0.34,4.44,2.83
728,556,0.34,4.47,2.79
730,557,0.31,4.36,2.7
731,557,0.31,4.36,2.68
732,557,0.31,4.37,2.73
733,557,0.31,4.37,2.72
735,557,0.31,4.36,2.72
736,557,0.31,4.32,2.7
737,557,0.31,4.35,2.69
738,557,0.31,4.33,2.69
741,557,0.33,4.42,2.76
742,557,0.33,4.45,2.74
744,557,0.33,4.41,2.76
745,557,0.33,4.46,2.72
746,557,0.33,4.44,2.75
747,557,0.33,4.39,2.76
749,557,0.33,4.54,2.73
750,2856,1.0,6.21,4.04
752,2856,0.77,5.94,3.61
753,2857,0.7,5.68,3.42
754,2857,0.9,6.08,3.82
755,2857,0.72,5.76,3.57
756,2857,0.9,6.2,3.82
757,2857,0.72,5.76,3.57
758,2858,0.7,5.63,3.52
759,2858,0.81,6.02,3.7
760,2858,0.81,6.0,3.72
761,2858,0.71,5.76,3.49
762,2858,0.7,5.73,3.51
763,2858,0.71,5.76,3.52
764,2858,0.71,5.68,3.58
765,2858,0.92,6.22,3.9
766,2858,0.76,5.88,3.67
768,2858,0.71,5.74,3.46
769,2858,0.7,5.61,3.56
770,2858,0.9,6.06,3.89
771,2858,0.71,5.89,3.34
772,2859,0.7,5.76,3.51
773,2859,0.7,5.72,3.55
774,2859,0.77,5.91,3.59
775,2859,0.71,5.74,3.54
776,2859,0.7,5.8,3.45
777,2859,0.75,6.09,3.37
778,2859,0.83,6.17,3.64
779,2860,0.71,5.68,3.5
780,2860,0.9,6.07,3.87
781,2860,0.6,5.41,3.35
782,2860,0.71,5.66,3.54
783,2860,0.53,5.23,3.2
784,2861,0.71,5.95,3.56
785,2861,0.62,5.45,3.37
786,2861,0.62,5.48,3.38
787,2861,0.9,6.09,3.81
788,2861,0.62,5.53,3.33
790,2861,0.66,5.67,3.43
791,2862,0.7,5.67,3.56
792,2862,0.8,5.9,3.7
793,2862,0.8,5.88,3.69
794,2862,0.79,5.97,3.7
796,2862,0.7,5.71,3.5
798,2862,0.79,6.07,3.64
799,2862,0.7,5.82,3.45
800,2862,1.22,6.93,4.21
802,2862,0.73,5.78,3.59
803,2863,0.91,6.05,3.9
804,2863,0.71,5.8,3.52
806,2863,0.84,6.06,3.76
807,2863,0.71,5.82,3.53
809,2863,0.71,5.8,3.54
810,2863,0.71,5.75,3.53
811,2863,0.71,5.79,3.54
812,2863,0.71,5.79,3.5
813,2863,0.91,6.4,3.74
814,2863,0.9,6.24,3.72
815,2863,0.71,5.74,3.51
817,2863,0.72,5.91,3.5
818,2863,0.72,5.78,3.51
819,2863,0.71,5.79,3.52
820,2864,0.81,6.07,3.65
821,2865,0.83,6.05,3.73
822,2865,0.73,5.87,3.55
823,2866,0.56,5.25,3.27
824,2866,0.56,5.27,3.27
825,2866,0.71,5.74,3.56
826,2866,0.7,5.66,3.54
827,2866,0.96,6.39,3.89
828,2867,0.71,5.67,3.57
829,2867,0.7,5.68,3.52
830,2867,0.71,5.78,3.5
831,2867,0.8,6.05,3.68
832,2867,0.95,6.49,3.77
836,2867,0.82,6.02,3.73
837,2867,0.82,6.14,3.66
838,2867,0.8,5.96,3.64
839,2867,0.96,6.07,4.1
841,2868,0.62,5.52,3.35
842,2868,0.79,5.96,3.62
843,2868,0.75,5.78,3.62
844,2869,1.08,6.55,4.03
845,2869,0.72,5.77,3.53
847,2869,0.73,5.84,3.57
848,2869,0.72,5.79,3.52
849,2870,0.52,5.16,3.18
850,2870,0.83,6.0,3.75
851,2870,0.64,5.56,3.44
852,2870,0.8,5.94,3.7
853,2870,0.74,5.77,3.6
855,2870,0.82,6.12,3.63
856,2870,0.73,5.81,3.55
857,2870,1.04,6.47,3.98
858,2871,0.73,5.76,3.55
859,2871,0.73,5.7,3.63
861,2871,0.75,5.83,3.61
862,2871,0.79,5.91,3.71
863,2872,0.7,5.59,3.51
864,2872,0.75,5.87,3.58
866,2872,0.7,5.79,3.42
867,2872,0.7,5.63,3.51
868,2872,0.7,5.66,3.49
869,2872,0.7,5.71,3.52
871,2872,0.7,5.75,3.48
872,2872,0.72,5.89,3.45
873,2872,0.74,5.74,3.59
874,2872,0.84,5.88,3.86
875,2873,0.76,5.8,3.62
876,2873,0.77,5.8,3.68
877,2873,0.76,5.78,3.64
878,2873,1.0,6.45,3.97
879,2873,1.0,6.14,4.0
880,2873,0.9,6.03,3.95
881,2873,0.9,6.16,3.8
883,2873,0.9,5.98,3.89
884,2873,0.9,6.01,3.94
885,2873,0.9,6.26,3.8
887,2874,0.71,5.69,3.5
888,2874,0.7,5.79,3.41
889,2874,0.7,5.71,3.46
890,2874,0.7,5.67,3.49
892,2874,0.7,5.75,3.53
893,2874,0.7,5.69,3.54
894,2874,0.7,5.68,3.55
895,2875,1.0,6.11,4.09
896,2875,0.77,5.84,3.66
897,2875,1.0,6.3,4.11
898,2875,1.0,6.08,4.01
899,2875,1.0,6.17,4.26
901,2876,0.79,6.04,3.64
902,2877,0.72,5.74,3.57
903,2877,0.71,5.75,3.57
904,2877,0.74,5.8,3.62
905,2877,0.7,5.6,3.53
906,2877,0.7,5.82,3.44
907,2878,0.79,5.86,3.69
908,2878,0.79,5.82,3.67
909,2878,0.79,6.0,3.6
910,2878,0.71,5.76,3.55
911,2878,0.79,5.88,3.7
912,2879,0.73,5.81,3.58
913,2879,0.63,5.55,3.34
914,2879,0.7,5.73,3.45
915,2879,0.71,5.71,3.57
916,2879,0.84,6.13,3.73
917,2879,0.84,6.08,3.77
918,2879,1.02,6.53,3.93
921,2880,0.92,6.34,3.75
922,2880,0.74,5.72,3.66
923,2881,0.7,5.74,3.55
924,2881,0.71,5.84,3.5
926,2882,0.7,5.62,3.54
927,2882,0.54,5.23,3.24
930,2882,0.73,5.97,3.49
931,2883,0.72,5.75,3.57
932,2883,0.9,6.09,3.79
933,2883,0.9,6.01,3.89
934,2884,1.03,6.32,4.11
935,2885,0.84,5.95,3.81
936,2885,1.01,6.36,3.96
937,2885,0.77,5.9,3.64
939,2885,0.9,6.02,3.99
940,2886,0.73,5.79,3.56
941,2886,0.72,5.64,3.55
945,2889,0.72,5.68,3.56
946,2889,0.7,5.62,3.58
947,2889,0.7,5.64,3.54
948,2889,0.9,6.09,3.88
949,2889,0.71,5.69,3.58
950,2889,0.5,5.08,3.17
951,2889,0.5,5.09,3.17
952,2889,0.74,5.83,3.58
954,2889,0.77,5.99,3.57
955,2890,0.8,6.07,3.71
956,2890,0.8,5.9,3.67
957,2890,0.8,5.97,3.66
958,2890,0.8,5.87,3.73
959,2890,0.66,5.61,3.44
961,2891,0.71,5.73,3.52
962,2891,0.71,5.74,3.54
963,2891,0.71,5.71,3.59
964,2891,0.72,5.78,3.54
965,2891,0.71,5.7,3.56
966,2892,0.86,6.12,3.79
967,2892,1.19,6.62,4.29
968,2893,0.71,5.66,3.56
969,2893,0.82,5.99,3.76
970,2893,0.71,5.73,3.53
971,2893,0.75,5.78,3.63
972,2893,0.7,5.87,3.45
974,2893,0.82,6.02,3.61
975,2893,0.82,6.0,3.78
976,2893,0.82,6.09,3.64
977,2894,0.81,5.91,3.71
978,2894,0.81,5.96,3.72
979,2894,0.76,5.88,3.62
981,2895,0.7,5.66,3.53
982,2895,0.7,5.71,3.56
983,2896,0.74,5.85,3.51
985,2896,0.77,6.0,3.51
986,2896,0.53,5.18,3.21
987,2896,0.79,5.91,3.65
988,2896,0.73,5.82,3.59
989,2896,0.77,5.83,3.64
990,2896,0.77,5.94,3.6
991,2896,1.01,6.39,4.02
992,2896,1.01,6.46,3.97
993,2897,0.6,5.48,3.33
995,2897,0.54,5.3,3.26
996,2897,0.72,5.69,3.57
998,2897,0.74,5.81,3.58
999,2898,1.12,6.68,4.03
1000,2898,0.75,5.83,3.62
1001,2898,0.77,5.92,3.67
1002,2898,0.98,6.51,3.76
1003,2898,0.79,5.98,3.64
1004,2898,0.79,5.9,3.66
1005,2898,0.79,5.9,3.66
1006,2898,0.79,5.9,3.66
1007,2898,0.79,5.9,3.66
1008,2898,0.79,5.9,3.66
1010,2900,0.7,5.71,3.54
1011,2900,0.72,5.68,3.55
1012,2901,0.8,5.91,3.71
1014,2901,0.81,5.97,3.71
1015,2901,0.74,5.81,3.59
1016,2902,0.73,5.76,3.56
1017,2902,0.73,5.82,3.57
1018,2902,0.75,5.82,3.6
1019,2902,0.71,5.62,3.62
1020,2902,0.71,5.85,3.47
1021,2903,0.75,5.78,3.62
1023,2903,0.72,5.78,3.57
1024,2903,0.72,5.79,3.53
1025,2903,0.72,5.8,3.53
1028,2904,0.7,5.83,3.43
1029,2904,0.62,5.48,3.41
1030,2905,0.7,5.78,3.44
1034,2905,0.86,6.1,3.75
1035,2905,0.53,5.16,3.24
1036,2905,0.91,6.17,3.9
1038,2905,0.91,6.19,3.87
1039,2906,0.74,5.74,3.6
1040,2906,0.8,5.92,3.69
1041,2906,0.74,5.74,3.61
1042,2907,0.61,5.42,3.38
1043,2907,0.61,5.42,3.39
1044,2907,0.61,5.43,3.38
1045,2907,0.72,5.68,3.58
1046,2907,0.7,5.69,3.56
