,carat,x,z
49743,0.72,5.79,3.54
3405,0.33,4.38,2.77
10588,0.91,6.14,3.91
50999,0.31,4.32,2.75
4996,0.58,5.34,3.33
31977,0.26,4.06,2.54
18184,1.01,6.4,3.96
47851,0.77,5.82,3.61
11000,1.17,6.66,4.23
40780,0.31,4.39,2.65
33082,0.32,4.43,2.7
33617,0.31,4.31,2.66
598,0.7,5.69,3.49
29564,0.41,4.73,3.0
42870,0.43,4.88,2.95
18175,1.5,7.31,4.38
11162,1.04,6.42,4.06
21757,1.53,7.5,4.46
35713,0.3,4.36,2.65
18139,1.37,7.18,4.42
43437,0.55,5.28,3.22
42816,0.5,5.09,3.1
52750,0.7,5.67,3.52
16715,0.3,4.28,2.66
20765,1.21,6.92,4.14
5189,0.9,6.14,3.89
49887,0.65,5.55,3.47
33728,0.37,4.67,2.84
52181,0.72,5.72,3.53
21666,1.51,7.54,4.51
49848,0.7,5.73,3.47
7653,0.9,6.08,3.88
13743,1.22,6.93,4.2
29726,0.31,4.33,2.73
23347,0.3,4.28,2.67
38070,0.3,4.29,2.64
23678,1.39,7.24,4.39
6073,1.09,6.64,4.07
42974,0.41,4.75,2.96
9881,0.9,5.99,3.95
43413,0.46,4.94,3.06
17467,0.91,6.24,3.8
45883,0.55,5.23,3.23
36861,0.42,4.81,2.94
17632,1.63,7.5,4.68
17313,1.19,6.9,3.99
20867,1.27,7.02,4.28
34132,0.32,4.41,2.67
8229,1.0,6.35,3.89
28906,0.3,4.26,2.62
7302,1.2,6.94,4.14
16319,1.22,6.99,4.12
45617,0.55,5.24,3.22
11887,1.01,6.32,4.01
39619,0.3,4.38,2.61
40366,0.33,4.43,2.73
34374,0.41,4.74,2.94
37967,0.41,4.8,2.91
32054,0.3,4.22,2.73
49378,0.73,5.71,3.59
6877,1.01,6.46,3.86
41235,0.39,4.74,2.88
28180,0.37,4.65,2.82
28192,0.4,4.71,2.92
1096,1.0,6.3,4.08
45210,0.51,5.06,3.17
40316,0.4,4.76,2.95
19932,1.08,6.54,4.06
49570,0.72,5.56,3.68
32363,0.39,4.71,2.86
18161,1.2,6.98,4.17
51675,0.72,5.73,3.58
48839,0.55,5.28,3.24
34647,0.31,4.37,2.69
46416,0.55,5.31,3.23
21562,1.75,7.71,4.77
48404,0.72,5.59,3.59
36769,0.34,4.47,2.77
851,0.64,5.56,3.44
625,0.83,6.08,3.72
6319,1.01,6.44,3.96
38947,0.31,4.35,2.71
42881,0.61,5.47,3.29
13683,1.01,6.42,3.92
52642,0.24,3.99,2.44
2174,0.8,5.94,3.73
48705,0.7,5.9,3.38
29870,0.3,4.26,2.67
6822,0.9,6.12,3.85
18062,1.14,6.87,4.02
3678,0.91,6.16,3.87
8358,0.77,5.93,3.58
48469,0.74,5.79,3.62
1405,0.32,4.4,2.72
44874,0.52,5.12,3.21
40498,0.53,5.23,3.23
8846,0.96,6.39,3.86
9522,1.01,6.42,3.94
3744,0.3,4.33,2.65
4545,1.0,6.37,4.0
36979,0.38,4.66,2.9
41640,0.4,4.7,2.94
36868,0.42,4.82,2.95
45722,0.55,5.28,3.24
38167,0.34,4.54,2.74
21811,1.66,7.54,4.73
14194,1.06,6.53,4.05
8654,1.03,6.49,4.0
12750,1.0,6.29,4.01
36941,0.34,4.55,2.76
15916,1.02,6.44,3.91
9755,1.13,6.61,4.17
23265,1.57,7.63,4.54
14519,1.01,6.38,3.94
47038,0.55,5.29,3.22
22141,1.52,7.44,4.46
49338,0.79,5.86,3.7
21525,1.2,6.81,4.24
12910,1.09,6.6,4.11
12665,1.02,6.4,3.99
13771,1.05,6.48,4.08
19158,1.11,6.64,4.1
14230,1.56,7.45,4.62
12245,1.01,6.44,3.96
12444,1.0,6.39,3.93
40104,0.33,4.44,2.71
46455,0.71,5.61,3.57
13060,0.93,6.26,3.92
19521,1.0,6.4,3.94
17193,1.24,6.88,4.29
20041,0.42,4.81,2.97
18390,1.33,7.06,4.33
6682,0.9,6.17,3.82
17961,1.5,7.36,4.53
29775,0.3,4.29,2.67
37347,0.4,4.76,2.89
6646,0.79,5.94,3.67
48921,0.7,5.66,3.52
1462,0.7,5.63,3.47
19773,1.52,7.37,4.58
41120,0.63,5.51,3.41
38610,0.31,4.36,2.71
18671,1.12,6.69,4.09
43756,0.41,4.77,2.96
31934,0.3,4.37,2.63
19977,1.51,7.31,4.45
7713,0.33,4.46,2.74
18247,1.01,6.54,3.97
53025,0.76,5.77,3.65
30096,0.32,4.42,2.71
1704,0.8,5.9,3.73
50231,0.7,5.66,3.55
40862,0.52,5.13,3.21
1233,0.81,5.92,3.72
8433,1.08,6.55,4.12
31095,0.36,4.57,2.84
38013,0.5,4.98,3.19
17048,0.3,4.31,2.69
48080,0.6,5.38,3.36
16531,1.0,6.35,3.98
51232,0.7,5.69,3.55
13237,1.05,6.49,4.05
16553,1.01,6.48,4.05
3796,0.73,5.78,3.57
50721,0.71,5.7,3.55
42747,0.51,5.11,3.15
3393,0.35,4.61,2.78
41918,1.03,5.72,4.42
16176,1.03,6.59,3.97
32110,0.47,5.01,3.11
30319,0.36,4.64,2.78
34241,0.4,4.74,2.91
12281,0.91,6.18,3.89
18786,1.02,6.25,4.0
50957,0.81,5.95,3.71
6433,1.02,6.3,4.04
40501,0.42,4.8,2.99
44909,0.53,5.2,3.21
28611,0.3,4.3,2.69
11442,0.72,5.81,3.54
44100,0.7,5.55,3.53
34627,0.31,4.41,2.7
35237,0.39,4.69,2.9
17427,1.1,6.62,4.08
16173,1.0,6.41,3.97
50913,0.72,5.74,3.58
23756,1.52,7.24,4.61
6671,0.94,6.26,3.93
41852,0.44,4.87,3.02
34895,0.33,4.44,2.76
1001,0.77,5.92,3.67
12513,1.16,6.68,4.18
34304,0.34,4.55,2.79
33865,0.3,4.35,2.68
36952,0.27,4.15,2.55
13997,1.01,6.37,4.0
39427,0.41,4.75,2.97
28432,0.3,4.31,2.67
37555,0.31,4.38,2.67
18240,1.14,6.71,4.12
3808,1.25,6.91,4.15
45422,0.55,5.29,3.24
4080,0.91,6.27,3.78
30783,0.3,4.28,2.68
22245,1.46,7.28,4.51
47221,0.8,5.98,3.66
2363,0.9,6.23,3.87
46022,0.57,5.34,3.3
41680,0.54,5.26,3.25
29808,0.3,4.29,2.73
11870,1.26,6.92,4.32
36283,0.32,4.38,2.74
44666,0.36,4.6,2.85
53450,0.7,5.8,3.44
38359,0.33,4.47,2.78
41567,0.55,5.22,3.23
50887,0.6,5.44,3.38
14730,1.15,6.74,4.14
42659,0.4,4.67,2.93
6960,1.21,6.6,4.28
42213,0.38,4.66,2.86
33741,0.31,4.37,2.7
10147,1.25,6.81,4.34
51049,0.75,5.87,3.55
7453,0.9,6.07,3.88
47626,0.75,5.96,3.55
37603,0.24,3.99,2.46
7277,1.0,6.5,3.87
6843,0.9,6.11,3.85
8599,1.03,6.49,3.99
40530,0.7,5.46,3.71
28362,0.35,4.57,2.78
4556,1.16,6.74,4.18
19736,1.02,6.43,4.01
50762,0.75,5.73,3.66
20068,0.31,4.3,2.69
13541,1.14,6.69,4.13
42651,0.4,4.76,2.93
5096,0.77,5.9,3.63
13706,1.09,6.62,4.12
14679,1.09,6.61,4.08
3573,0.96,6.16,3.93
35509,0.41,4.78,3.0
32894,0.36,4.59,2.78
12332,1.01,6.34,4.01
23415,1.5,7.32,4.53
52792,0.71,5.71,3.55
8513,1.01,6.56,3.93
19902,1.06,6.5,4.06
30982,0.37,4.55,2.86
20124,1.2,6.88,4.2
15117,1.18,6.77,4.19
9814,0.91,6.32,3.74
28843,0.41,4.75,3.01
5547,1.02,6.5,4.0
52010,0.78,5.8,3.65
38940,0.31,4.31,2.69
46466,0.53,5.16,3.22
21628,1.26,6.91,4.3
9906,1.05,6.49,4.05
16045,0.3,4.3,2.61
38303,0.37,4.59,2.88
32183,0.41,4.8,2.96
11124,1.1,6.58,4.12
16727,0.3,4.32,2.65
9645,1.01,6.5,3.94
7459,0.9,6.13,3.88
47697,0.71,5.61,3.49
39338,0.49,5.05,3.13
7143,1.11,6.65,4.07
29137,0.32,4.37,2.75
13502,1.21,6.97,4.18
2129,0.72,5.74,3.56
40293,0.4,4.73,2.94
22499,1.28,6.97,4.32
1041,0.74,5.74,3.61
48638,0.31,4.38,2.72
29100,0.34,4.51,2.8
42414,0.52,5.13,3.17
31188,0.32,4.39,2.77
36124,0.33,4.48,2.73
47156,0.45,4.92,3.05
107,0.74,5.77,3.61
48264,0.57,5.29,3.28
23236,1.31,7.06,4.3
53095,0.75,5.8,3.66
23675,1.53,7.28,4.58
48089,0.52,5.15,3.19
29944,0.27,4.16,2.56
12201,1.18,6.81,4.25
48125,0.54,5.26,3.19
35298,0.3,4.3,2.62
44405,0.53,5.21,3.21
29641,0.35,4.51,2.81
23305,1.52,7.32,4.62
7386,0.33,4.52,2.7
45735,0.5,5.13,3.11
41135,0.5,5.06,3.05
41047,0.51,5.13,3.19
30957,0.32,4.35,2.73
32764,0.34,4.54,2.74
18978,1.51,7.33,4.49
42202,0.4,4.8,2.85
36134,0.33,4.49,2.72
43542,0.52,5.15,3.19
36856,0.5,5.2,3.02
49902,0.71,5.7,3.54
50660,0.3,4.27,2.7
36432,0.31,4.38,2.71
18134,1.0,6.4,3.93
10009,1.01,6.34,3.97
5798,1.0,6.25,4.02
38919,0.33,4.46,2.7
50082,0.63,5.49,3.42
102,0.74,5.8,3.59
9388,0.32,4.39,2.75
14064,0.3,4.31,2.67
15123,1.33,6.9,4.34
30545,0.31,4.3,2.71
48664,0.53,5.18,3.19
16605,1.04,6.58,4.01
30813,0.38,4.62,2.86
34075,0.36,4.59,2.87
3834,1.0,6.28,3.96
45818,0.66,5.6,3.44
4899,1.01,6.28,3.81
12244,1.01,6.37,3.97
753,0.7,5.68,3.42
5232,0.77,6.01,3.59
50318,0.78,5.91,3.67
28519,0.34,4.41,2.81
12953,1.3,7.0,4.39
45482,0.5,5.14,3.18
50491,0.7,5.85,3.41
23660,1.55,7.46,4.55
44917,0.53,5.23,3.18
49762,0.72,5.67,3.55
47579,0.6,5.43,3.37
53098,0.77,5.93,3.65
17175,1.31,7.18,4.18
22047,0.31,4.32,2.7
39893,0.42,4.81,2.97
2421,0.91,6.18,3.85
15938,1.54,7.22,4.67
32170,0.37,4.56,2.85
15316,1.3,6.98,4.28
34800,0.36,4.57,2.86
22893,1.14,6.74,4.13
33300,0.31,4.4,2.6
36602,0.32,4.38,2.75
22852,2.01,7.85,5.15
44548,0.54,5.25,3.22
35864,0.41,4.88,2.86
50373,0.53,5.17,3.18
1540,0.7,5.66,3.47
29672,0.28,4.24,2.6
18891,0.9,6.05,3.88
43935,0.3,4.42,2.57
16512,1.01,6.46,3.88
41584,0.32,4.42,2.77
46796,0.5,5.06,3.22
13725,0.27,4.24,2.54
30956,0.32,4.36,2.72
49607,0.71,5.75,3.49
34829,0.3,4.29,2.66
11902,1.15,6.74,4.2
43026,0.46,4.93,3.05
28107,0.36,4.54,2.81
40128,0.41,4.78,2.96
36621,0.24,3.92,2.47
21252,1.52,7.49,4.51
17963,1.0,6.39,3.88
5818,1.18,6.78,4.23
410,0.34,4.48,2.78
45131,0.54,5.15,3.21
48726,0.52,5.24,3.18
23510,1.7,7.63,4.65
42063,0.62,5.48,3.4
39556,0.32,4.42,2.73
10670,1.01,6.46,3.89
52636,0.24,3.95,2.47
19210,1.01,6.34,4.01
51859,0.76,5.88,3.65
17069,0.32,4.38,2.77
2671,0.7,5.68,3.54
44564,0.52,5.16,3.23
8755,0.91,6.22,3.76
49966,0.33,4.54,2.7
9000,0.91,6.1,3.84
50888,0.72,5.77,3.55
22982,1.71,7.64,4.67
11067,0.34,4.46,2.77
42824,0.55,5.26,3.3
1917,0.91,6.18,3.91
43514,0.61,5.48,3.29
3641,0.79,6.06,3.52
50091,0.57,5.36,3.25
16639,1.32,7.14,4.29
36710,0.41,4.78,2.93
8425,0.92,6.2,3.87
20248,1.23,6.93,4.23
49708,0.71,5.78,3.49
9103,1.0,6.24,3.92
32736,0.31,4.33,2.69
29652,0.35,4.53,2.79
11273,1.11,6.64,4.16
48616,0.54,5.31,3.2
6683,0.9,6.21,3.84
44163,0.5,5.1,3.13
35259,0.3,4.33,2.63
11190,1.18,7.01,4.09
13837,0.87,6.1,3.79
31657,0.32,4.45,2.72
45745,0.52,5.17,3.22
19119,1.0,6.47,3.93
50015,0.7,5.63,3.54
7470,1.0,6.29,3.88
45748,0.51,5.12,3.22
34269,0.32,4.43,2.73
45720,0.55,5.26,3.26
19096,1.51,7.36,4.57
51248,0.7,5.59,3.58
15963,1.22,6.87,4.25
5097,0.91,6.19,3.9
15899,1.07,6.5,4.11
39261,0.38,4.66,2.86
40974,0.5,5.13,3.13
5042,0.4,4.73,2.97
35900,0.32,4.38,2.73
382,0.75,5.72,3.64
496,0.71,5.75,3.52
46903,0.56,5.33,3.28
2621,0.74,5.76,3.6
10977,1.01,6.53,3.87
36653,0.4,4.79,2.9
46012,0.53,5.22,3.21
7021,1.04,6.56,3.94
16933,1.0,6.31,3.97
7830,1.01,6.43,3.96
11459,1.15,6.74,4.17
29258,0.39,4.69,2.89
9116,1.11,6.76,3.96
52902,0.72,5.74,3.6
3101,0.71,5.73,3.52
22924,1.5,7.2,4.55
28003,0.3,4.37,2.59
1673,0.71,5.7,3.56
41894,0.56,5.24,3.32
30286,0.34,4.45,2.81
16751,1.25,6.83,4.27
48765,0.7,5.79,3.45
14876,1.15,6.75,4.21
20434,1.25,6.95,4.24
29484,0.4,4.66,2.94
36545,0.4,4.7,2.98
44297,0.52,5.2,3.1
46954,0.3,4.28,2.65
18405,1.32,7.06,4.34
30633,0.41,4.77,2.9
15367,0.3,4.32,2.64
17335,1.01,6.35,3.99
17752,1.19,6.73,4.22
21634,1.02,6.34,4.05
21186,1.2,6.74,4.2
39289,0.3,4.33,2.7
11768,1.0,6.42,3.94
3876,0.83,5.97,3.76
53620,0.3,4.24,2.69
46285,0.59,5.33,3.3
21638,1.5,7.3,4.57
39938,0.23,3.92,2.44
34836,0.3,4.26,2.65
23155,2.03,8.22,5.01
36079,0.37,4.68,2.83
33374,0.41,4.72,2.96
44008,0.3,4.25,2.63
488,0.72,5.84,3.51
9595,1.04,6.48,4.05
12769,1.33,6.93,4.46
40557,0.41,4.78,2.97
37283,0.3,4.24,2.69
7598,1.06,6.63,3.91
49124,0.56,5.35,3.28
31925,0.3,4.25,2.69
53836,0.85,6.11,3.68
15953,1.24,6.85,4.31
15360,0.3,4.33,2.66
38047,0.49,5.17,3.08
44203,0.51,5.05,3.2
34295,0.3,4.34,2.65
32755,0.34,4.48,2.78
52638,0.24,3.95,2.46
4087,0.9,6.12,3.72
53489,0.7,5.63,3.56
53445,0.72,5.83,3.57
21927,1.51,7.25,4.62
14622,1.21,6.79,4.19
18921,1.01,6.34,4.06
4118,0.9,6.16,3.86
20413,1.31,7.03,4.37
38295,0.3,4.34,2.63
46110,0.59,5.32,3.36
15026,1.0,6.54,3.94
7156,0.85,6.11,3.72
37877,0.42,4.75,3.0
53332,0.72,5.77,3.46
12355,1.04,6.49,3.97
16792,1.0,6.45,3.95
52737,0.71,5.7,3.52
32315,0.3,4.3,2.66
32648,0.31,4.37,2.72
10407,0.31,4.34,2.72
23185,1.5,7.21,4.62
5860,1.03,6.45,4.01
7913,0.9,6.06,3.81
46688,0.58,5.37,3.32
23069,1.18,6.77,4.17
43457,0.61,5.44,3.38
51660,0.71,5.7,3.59
50958,1.01,6.51,3.94
47810,0.71,5.67,3.53
53114,0.78,5.9,3.62
2760,0.73,5.89,3.51
47818,0.5,5.05,3.19
9699,0.4,4.69,2.98
45108,0.56,5.31,3.28
35603,0.31,4.34,2.67
35750,0.3,4.26,2.67
12416,1.29,7.0,4.33
52164,0.76,5.81,3.64
25360,0.28,4.13,2.61
44055,0.52,5.08,3.26
19899,1.24,6.95,4.29
27977,0.3,4.24,2.66
4555,0.9,6.13,3.88
48192,0.69,5.73,3.5
43651,0.53,5.21,3.24
51778,0.61,5.36,3.4
4966,0.91,6.13,3.86
7755,1.05,6.71,3.92
45336,0.51,5.27,3.11
50205,0.58,5.36,3.33
30572,0.31,4.39,2.68
7248,1.06,6.46,4.06
47861,0.56,5.28,3.26
15556,0.9,6.11,3.87
16477,1.2,6.76,4.22
38414,0.39,4.72,2.89
35387,0.41,4.7,2.93
37563,0.31,4.3,2.74
17563,1.2,6.72,4.22
39322,0.51,5.01,3.19
3343,0.5,4.99,3.17
12126,1.3,7.01,4.32
24374,0.34,4.54,2.77
53786,0.73,5.79,3.58
7959,1.0,6.24,4.0
44300,0.5,5.01,3.24
50869,0.7,5.73,3.47
20111,1.5,7.4,4.34
43415,0.57,5.26,3.32
8748,1.06,6.51,4.02
13462,1.0,6.28,4.01
52269,0.76,5.88,3.62
39015,0.43,4.78,3.0
590,0.71,5.6,3.53
34649,0.31,4.37,2.7
52071,0.71,5.68,3.53
3823,0.8,5.86,3.66
27386,0.41,4.72,2.89
29906,0.41,4.75,2.95
2687,0.71,5.69,3.58
22820,1.16,6.77,4.12
8475,1.01,6.38,3.98
42620,0.32,4.37,2.74
4363,0.9,6.12,3.9
28384,0.33,4.46,2.73
39155,0.36,4.57,2.82
6642,1.09,6.78,3.98
41226,0.43,4.85,3.02
20042,0.42,4.81,2.99
40280,0.32,4.47,2.72
4165,0.71,5.73,3.54
18335,1.5,7.24,4.47
9329,0.9,6.24,3.7
33859,0.3,4.36,2.65
1440,0.7,5.69,3.54
22701,0.3,4.28,2.75
13104,1.07,6.56,4.06
22961,1.37,7.2,4.39
1727,0.32,4.37,2.76
7433,0.93,6.34,3.86
30974,0.38,4.66,2.87
30021,0.41,4.75,3.01
30608,0.34,4.45,2.8
39262,0.38,4.64,2.87
21424,1.07,6.59,4.04
38882,0.4,4.72,2.95
20636,1.24,7.0,4.19
29863,0.3,4.22,2.63
33445,0.32,4.41,2.71
15328,1.09,6.68,4.02
11176,1.0,6.3,3.92
41503,0.51,5.44,3.01
6311,1.13,6.58,4.19
38090,0.36,4.64,2.81
10373,1.15,6.68,4.17
10256,0.81,5.93,3.72
44842,0.56,5.32,3.25
30628,0.26,4.1,2.55
19479,1.7,7.51,4.79
44035,0.42,4.76,3.0
8453,1.0,6.31,3.97
40003,0.41,4.81,2.99
9521,1.01,6.49,3.87
46977,0.23,3.96,2.43
50552,0.73,5.77,3.59
4366,0.9,6.07,3.86
6849,1.0,6.3,3.97
40909,0.42,4.82,2.95
12452,1.34,6.98,4.4
38735,0.4,4.71,2.94
3868,0.96,6.3,3.81
16866,1.07,6.59,4.07
51844,0.71,5.75,3.54
49984,0.71,5.66,3.55
27834,0.41,4.83,2.95
10271,1.2,6.66,4.22
1432,0.7,5.74,3.49
2890,0.9,6.08,3.75
39526,0.4,4.79,2.89
53560,0.71,5.72,3.53
3871,0.9,6.21,3.82
47994,0.32,4.37,2.73
22166,1.57,7.44,4.65
8016,1.19,6.7,4.27
22809,2.0,8.13,4.92
8206,0.7,5.69,3.54
43907,0.25,3.98,2.56
5344,0.74,5.8,3.57
42810,0.53,5.21,3.24
44371,0.43,4.89,3.0
47338,0.23,3.9,2.42
38579,0.4,4.71,2.93
1152,0.71,5.71,3.57
11161,1.02,6.35,3.99
1131,0.71,5.87,3.48
48163,0.57,5.42,3.23
862,0.79,5.91,3.71
2302,0.74,5.77,3.7
50132,0.67,5.58,3.47
9021,1.0,6.36,3.7
35577,0.35,4.55,2.81
46801,0.52,5.23,3.13
8230,0.73,5.79,3.56
22620,2.01,7.81,5.17
37875,0.32,4.43,2.69
39610,0.3,4.23,2.66
32561,0.31,4.35,2.7
23133,1.5,7.32,4.56
22074,1.71,7.64,4.72
16128,1.01,6.47,3.92
556,0.76,5.89,3.61
32754,0.34,4.46,2.81
14678,1.09,6.61,4.09
49345,0.71,5.72,3.56
4876,0.9,6.13,3.74
14243,1.05,6.54,3.99
48660,0.72,5.67,3.61
1595,0.73,5.87,3.57
53202,0.71,5.78,3.52
27863,0.31,4.32,2.67
31008,0.35,4.6,2.75
20320,1.51,7.51,4.47
36575,0.35,4.54,2.82
36441,0.31,4.37,2.68
52070,0.96,6.48,3.79
49265,0.58,5.38,3.32
36899,0.41,4.75,2.98
43482,0.38,4.77,2.86
39028,0.52,5.34,3.07
22903,1.71,7.65,4.72
6009,0.91,6.09,3.88
38558,0.5,5.06,3.17
35515,0.35,4.5,2.79
6197,1.03,6.5,4.03
38104,0.36,4.59,2.84
38326,0.5,5.1,3.13
28656,0.35,4.49,2.79
49064,0.7,5.77,3.39
16532,1.01,6.43,4.0
13251,1.03,6.48,3.98
46195,0.5,5.14,3.14
23733,1.52,7.39,4.56
11415,1.5,7.1,4.64
50317,0.71,5.6,3.56
44023,0.51,5.12,3.17
34708,0.39,4.68,2.9
35357,0.42,4.89,2.92
42683,0.5,5.03,3.16
15676,1.23,6.92,4.26
41411,0.47,5.07,3.03
34150,0.33,4.45,2.73
28177,0.3,4.35,2.62
30913,0.34,4.49,2.74
21712,0.5,4.91,3.32
41538,0.42,4.84,2.96
35827,0.41,4.92,2.94
51199,0.73,5.65,3.63
43127,0.5,5.04,3.23
5307,0.9,6.13,3.79
39568,0.44,4.89,2.99
36407,0.31,4.35,2.67
46827,0.52,5.17,3.18
35779,0.32,4.39,2.72
18242,1.01,6.45,3.94
18792,1.23,6.92,4.26
51063,0.64,5.7,3.35
49160,0.69,5.9,3.39
4492,1.0,6.53,3.82
8942,1.01,6.45,3.96
6645,1.06,6.55,4.03
15690,0.29,4.27,2.63
31559,0.38,4.65,2.88
595,0.82,5.83,3.77
15563,1.01,6.43,3.97
33183,0.41,4.75,2.99
15634,1.01,6.49,3.94
10282,1.11,6.65,4.13
29697,0.31,4.36,2.69
6772,0.9,6.0,3.96
50782,0.77,5.96,3.6
2888,0.82,5.95,3.77
451,0.71,5.78,3.53
6210,0.7,5.72,3.51
38435,0.38,4.72,2.86
37098,0.41,4.77,2.98
22096,1.51,7.2,4.57
47645,0.23,3.95,2.41
1252,0.79,5.9,3.69
21370,0.34,4.47,2.78
23167,1.7,7.89,4.58
46990,0.71,5.68,3.62
14209,1.28,7.06,4.2
5603,0.9,6.17,3.86
22687,0.43,4.79,3.04
34664,0.31,4.35,2.7
42073,0.55,5.23,3.22
2517,0.73,5.75,3.6
4174,1.01,6.34,4.04
52610,0.81,5.87,3.74
46739,0.55,5.27,3.29
28195,0.38,4.65,2.81
44566,0.52,5.15,3.25
18053,0.3,4.28,2.66
18336,1.11,6.66,4.12
14278,1.01,6.47,3.94
49132,0.56,5.34,3.25
7185,1.15,6.68,4.14
44944,0.51,5.15,3.16
51784,0.7,5.66,3.52
31737,0.41,4.89,2.86
1602,0.7,5.67,3.53
1458,0.72,5.76,3.47
30878,0.33,4.5,2.73
7029,1.02,6.48,3.9
30616,0.3,4.29,2.56
46168,0.5,5.11,3.12
8464,1.03,6.43,4.01
13817,1.0,6.46,3.89
3673,0.9,6.14,3.82
47342,0.5,5.12,3.12
35172,0.31,4.38,2.69
4605,0.9,6.16,3.7
7,0.26,4.07,2.53
4065,0.31,4.33,2.67
43818,0.51,5.15,3.2
45534,0.81,5.78,3.81
23276,1.56,7.56,4.53
43484,0.53,5.22,3.23
32107,0.35,4.53,2.82
49758,0.77,5.9,3.64
48593,0.7,5.62,3.56
8282,1.03,6.46,4.05
44280,0.53,5.19,3.21
44469,0.52,5.27,3.11
5904,0.93,6.15,3.87
36521,0.42,4.79,3.02
42892,0.51,5.15,3.17
35233,0.36,4.61,2.8
15629,1.01,6.37,3.97
20075,1.01,6.48,3.99
1380,0.31,4.43,2.68
10653,1.01,6.43,4.01
31817,0.36,4.59,2.79
44450,0.5,5.01,3.15
30403,0.32,4.39,2.7
31941,0.3,4.32,2.64
21901,1.53,7.32,4.59
37312,0.31,4.39,2.68
32971,0.37,4.56,2.83
11279,1.22,6.89,4.26
8298,0.9,6.34,3.78
6336,1.0,6.43,3.99
3645,0.9,6.13,3.83
9485,1.01,6.43,4.01
12404,1.2,6.93,4.08
41961,0.23,3.9,2.41
47429,0.51,5.1,3.17
34108,0.3,4.31,2.68
34072,0.45,4.84,3.05
51067,0.7,5.76,3.52
1570,0.71,5.8,3.53
21412,1.23,6.93,4.23
52175,0.91,6.23,3.78
32575,0.33,4.45,2.73
2843,0.81,5.95,3.63
7201,1.04,6.35,4.08
15052,0.3,4.26,2.63
37797,0.41,4.76,2.95
19407,1.25,6.91,4.26
17803,1.5,7.23,4.49
50265,0.71,5.68,3.55
23489,1.5,7.71,4.3
11886,1.0,6.28,3.99
19989,1.6,7.51,4.64
44167,0.6,5.4,3.33
10365,1.01,6.35,4.01
